frame	start	end	duration	title_hi	title_en	source	image_path	rubab_overlay	effects	note
111	161.524	163.17	1.646	Shot 111	111 Aqueduct Procession	111	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0111_aqueduct_procession.jpg	no	grain,vignette	Bharat march, vibration, Om, final silence. Group procession under stone arches.
112	163.17	165.098	1.928	Shot 112	112 Handshake Vibration Close	112	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0112_handshake_vibration_close.jpg	no	grain,vignette,sonic	Bharat march, vibration, Om, final silence. Locked hands with vibration marks.
113	165.098	166.743	1.645	Shot 113	113 United Warriors Urban	113	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0113_united_warriors_urban.jpg	no	grain,vignette	Bharat march, vibration, Om, final silence. Haryanvi and Pakhtoon group in urban ruins.
114	166.743	168.02	1.277	Shot 114	114 Eyes Mountain Reflection	114	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0114_eyes_mountain_reflection.jpg	no	grain,vignette	Bharat march, vibration, Om, final silence. Eyes close-up with mountain forms in irises.
115	168.02	169.836	1.816	Shot 115	115 Subtle Brahman Smile Face	115	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0115_subtle_brahman_smile_face.jpg	no	grain,vignette	Bharat march, vibration, Om, final silence. Soft smiling face looking forward.
116	169.836	171.651	1.815	Shot 116	116 Eclipse Figure Focus Caption	116	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0116_eclipse_figure_focus_caption.jpg	no	grain,vignette,sonic	Bharat march, vibration, Om, final silence. Eclipse figure with focus caption text.
117	171.651	173.325	1.674	Shot 117	117 Fist Vibration Circles	117	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0117_fist_vibration_circles.jpg	no	grain,vignette,sonic	Bharat march, vibration, Om, final silence. Clenched fist inside red vibration rings.
118	173.325	174.469	1.144	Shot 118	118 Ritual Bell Black	118	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0118_ritual_bell_black.jpg	no	grain,vignette	Bharat march, vibration, Om, final silence. Ritual bell isolated on black.
119	174.469	175.49	1.021	Shot 119	119 Elder Smoke Breath	119	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0119_elder_smoke_breath.jpg	no	grain,vignette,dust	Bharat march, vibration, Om, final silence. Elder exhales red smoke in darkness.
120	175.49	177.321	1.831	Shot 120	120 Shanti Handshake Outro	120	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0120_shanti_handshake_outro.jpg	no	grain,vignette,sonic	Bharat march, vibration, Om, final silence. Hands clasped with Om Shanti text and silhouettes.
121	177.321	178.526	1.205	Shot 121	121 Fist Shattering Letters	121	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0121_fist_shattering_letters.jpg	no	grain,vignette	Bharat march, vibration, Om, final silence. Raised fist breaks letter-like shards.
122	178.526	179.833	1.307	Shot 122	122 Void Figure Shards	122	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0122_void_figure_shards.jpg	no	grain,vignette	Bharat march, vibration, Om, final silence. Lone figure in void with black shards.
123	179.833	181.018	1.185	Shot 123	123 Aqueduct Group Shadows	123	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0123_aqueduct_group_shadows.jpg	no	grain,vignette	Bharat march, vibration, Om, final silence. Group under arches with long shadows.
124	181.018	182.499	1.481	Shot 124	124 Outro Marching Feet	124	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0124_outro_marching_feet.jpg	no	grain,vignette	Bharat march, vibration, Om, final silence. Low close-up of feet walking forward.
125	182.499	184.133	1.634	Shot 125	125 Closed Eyes Bharat Map Face	125	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0125_closed_eyes_bharat_map_face.jpg	no	grain,vignette	Bharat march, vibration, Om, final silence. Closed-eyed face with Bharat map motif.
126	184.133	185.551	1.418	Shot 126	126 Blood Drop On Page	126	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0126_blood_drop_on_page.jpg	no	grain,vignette	Bharat march, vibration, Om, final silence. Red drop splashes onto parchment.
127	185.551	187.14	1.589	Shot 127	127 Bell Hindi Caption	127	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0127_bell_hindi_caption.jpg	no	grain,vignette	Bharat march, vibration, Om, final silence. Bell with Hindi caption below.
128	187.14	188.57	1.43	Shot 128	128 Compassionate Smile Face	128	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0128_compassionate_smile_face.jpg	no	grain,vignette,sonic	Bharat march, vibration, Om, final silence. Soft face with tearful eyes and slight smile.
129	188.57	190.034	1.464	Shot 129	129 Om Smoke Void	129	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0129_om_smoke_void.jpg	no	grain,vignette,dust,sonic	Bharat march, vibration, Om, final silence. Small Om glyph with rising smoke in black void.
130	190.034	191.453	1.419	Shot 130	130 Elder Smoke Breath Side	130	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0130_elder_smoke_breath_side.jpg	no	grain,vignette,dust	Bharat march, vibration, Om, final silence. Elder exhales red smoke, alternate crop.
131	191.453	192.597	1.144	Shot 131	131 Om Black Vortex	131	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0131_om_black_vortex.jpg	no	grain,vignette,sonic	Bharat march, vibration, Om, final silence. Om glyph centered inside black circular vortex.
132	192.597	193.873	1.276	Shot 132	132 Mouth Smirk Close	132	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0132_mouth_smirk_close.jpg	no	grain,vignette	Bharat march, vibration, Om, final silence. Close-up of quiet smirk.
133	193.873	195.292	1.419	Shot 133	133 Elder Smoke Breath Center	133	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0133_elder_smoke_breath_center.jpg	no	grain,vignette,dust	Bharat march, vibration, Om, final silence. Centered elder with red smoke exhale.
134	195.292	196.599	1.307	Shot 134	134 Eclipse Shards	134	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0134_eclipse_shards.jpg	no	grain,vignette,sonic	Bharat march, vibration, Om, final silence. Eclipse ring with shards breaking off.
135	196.599	198.063	1.464	Shot 135	135 Small Om Dark Void	135	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0135_small_om_dark_void.jpg	no	grain,vignette,sonic	Bharat march, vibration, Om, final silence. Small Om symbol in dim black field.
136	198.063	199.697	1.634	Shot 136	136 Eclipse Ring Close	136	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0136_eclipse_ring_close.jpg	no	grain,vignette,sonic	Bharat march, vibration, Om, final silence. Large clean eclipse ring close-up.
137	199.697	201.84	2.143	Shot 137	137 Eclipse Soundwave Final	137	build_frames/lineup_unique_art2/named_frames_1080p_jpg/0137_eclipse_soundwave_final.jpg	no	grain,vignette,sonic	Bharat march, vibration, Om, final silence. Eclipse with shattered ring and waveform lines.
